customer,invoice_id,invoice_number,invoice_date,service_date,product_service,qbo_item,description,ship_date,ship_via,item,item_original,qty,uom,unit_price,line_amount,invoice_total,invoice_balance,pdf_path
Rochester Iron & Metal,7437,2896,2024-01-04,2024-01-04,Non-Ferrous Sale,Non-Ferrous Sale,Old Sheet Alum Dumpster,,,Old Sheet Aluminum,Old Sheet Alum Dumpster,9300,,0.5,4650.0,4650.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7437.pdf
Rochester Iron & Metal,7594,2939,2024-01-26,2024-01-26,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,30720,,0.1941963,5965.71,5965.71,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7594.pdf
Rochester Iron & Metal,7623,2945,2024-01-30,2024-01-30,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,34400,,0.1930674,6641.52,6641.52,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7623.pdf
Rochester Iron & Metal,7657,2961,2024-02-02,2024-02-02,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,45440,,0.1718,7806.59,7806.59,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7657.pdf
Rochester Iron & Metal,7684,2971,2024-02-07,2024-02-07,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,30710,,0.1724777,5296.79,5296.79,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7684.pdf
Rochester Iron & Metal,7779,3001,2024-02-22,2024-02-22,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,25080,,0.1808034,4534.55,4534.55,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7779.pdf
Rochester Iron & Metal,7778,3000,2024-02-22,2024-02-22,Non-Ferrous Sale,Non-Ferrous Sale,Old Sheet,,,Old Sheet,Old Sheet,8160,,0.5,4080.0,4080.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7778.pdf
Rochester Iron & Metal,7873,3031,2024-03-05,2024-03-05,Non-Ferrous Sale,Non-Ferrous Sale,SS Bkg,,,Stainless Breakage,SS Bkg,10380,,0.21,2179.8,2179.8,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7873.pdf
Rochester Iron & Metal,8077,3105,2024-03-28,2024-03-28,Non-Ferrous Sale,Non-Ferrous Sale,Stainless Steel,,,Stainless,Stainless Steel,13560,,0.21,2847.6,2847.6,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8077.pdf
Rochester Iron & Metal,8192,3133,2024-04-12,2024-04-12,Ferrous Sale,Ferrous Sale,Difference from short paid invoice #2837,,,,Difference from short paid invoice #2837,1,,1497.67,1497.67,1497.67,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8192.pdf
Rochester Iron & Metal,8689,3312,2024-06-14,2024-06-14,Ferrous Sale,Ferrous Sale,Heavy Unppd,2024-06-14,,Unprepared HMS (Heavy),Heavy Unppd,35500,,0.085,3017.5,3017.5,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8689.pdf
Rochester Iron & Metal,8719,3319,2024-06-17,2024-06-17,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-06-17,,Clips,Mixed Clips,22500,,0.1349507,3036.39,3036.39,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8719.pdf
Rochester Iron & Metal,8731,3327,2024-06-19,2024-06-19,Ferrous Sale,Ferrous Sale,Mixed Clips,2024-06-19,,Clips,Mixed Clips,28580,,0.136161,3891.48,3891.48,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-8731.pdf
