"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"04/25/2024","Invoice","3170","Oscar Winski Company","05/25/2024","$0.00","$1,635.25","","May 4, 2024, 12:55 PM",
"04/23/2024","Invoice","3163","Oscar Winski Company","05/23/2024","$0.00","$1,456.88","","May 4, 2024, 12:53 PM",
"04/17/2024","Invoice","3147","Oscar Winski Company","05/17/2024","$0.00","$5,982.75","","May 4, 2024, 12:51 PM",
"04/11/2024","Invoice","3130","Oscar Winski Company","05/11/2024","$0.00","$3,429.13","","May 4, 2024, 12:50 PM",
"04/11/2024","Payment","159881","Oscar Winski Company","","$0.00","$24,184.10","","Apr 11, 2024, 1:21 PM",
"04/11/2024","Deposit","","","","$0.00","$25,201.00","","Sep 16, 2024, 11:46 AM",
"03/27/2024","Invoice","3103","Oscar Winski Company","04/26/2024","$0.00","$1,727.75","","Apr 11, 2024, 11:08 AM",
"03/27/2024","Invoice","3102","Oscar Winski Company","04/26/2024","$0.00","$3,158.21","","Apr 11, 2024, 11:08 AM",
"03/26/2024","Invoice","3100","Oscar Winski Company","04/25/2024","$0.00","$4,205.46","","Apr 11, 2024, 11:08 AM",
"03/22/2024","Invoice","3090","Oscar Winski Company","04/21/2024","$0.00","$2,338.92","","Apr 11, 2024, 11:08 AM",
"03/13/2024","Invoice","3059","Oscar Winski Company","04/12/2024","$0.00","$4,501.46","","Apr 11, 2024, 11:08 AM",
"03/08/2024","Invoice","3051","Oscar Winski Company","04/07/2024","$0.00","$4,456.50","","Apr 11, 2024, 11:08 AM",
"03/08/2024","Payment","159638","Oscar Winski Company","","$0.00","$9,273.73","","Mar 13, 2024, 1:09 PM",
"03/08/2024","Deposit","","","","$0.00","$10,608.73","","Sep 16, 2024, 10:46 AM",
"03/06/2024","Invoice","3040","Oscar Winski Company","04/05/2024","$0.00","$3,795.79","","Apr 11, 2024, 11:08 AM",
"02/09/2024","Invoice","2978","Oscar Winski Company","03/10/2024","$0.00","$6,986.24","","Mar 8, 2024, 9:57 AM",
"02/08/2024","Payment","159498","Oscar Winski Company","","$0.00","$7,999.56","","Feb 8, 2024, 10:06 AM",
"02/08/2024","Deposit","","","","$0.00","$8,677.51","","Sep 16, 2024, 9:22 AM",
