"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2022","3,734.50","3,734.50","3,734.50","3,734.50","","-0.45%"
"07/07/2022","3,751.40","3,751.40","3,751.40","3,751.40","","2.89%"
"07/06/2022","3,646.20","3,646.20","3,646.20","3,646.20","","-1.37%"
"07/05/2022","3,696.80","3,696.80","3,696.80","3,696.80","","-3.29%"
"07/04/2022","3,822.60","3,822.60","3,822.60","3,822.60","","0.51%"
"07/01/2022","3,803.30","3,803.30","3,803.30","3,803.30","","-1.94%"
"06/30/2022","3,878.60","3,878.60","3,878.60","3,878.60","","-2.24%"
"06/29/2022","3,967.50","3,967.50","3,967.50","3,967.50","","0.31%"
"06/28/2022","3,955.30","3,955.30","3,955.30","3,955.30","","-0.31%"
"06/27/2022","3,967.70","3,967.70","3,967.70","3,967.70","","1.25%"
"06/24/2022","3,918.90","3,918.90","3,918.90","3,918.90","","-1.90%"
"06/23/2022","3,994.80","3,994.80","3,994.80","3,994.80","","-2.93%"
"06/22/2022","4,115.50","4,115.50","4,115.50","4,115.50","","-2.86%"
"06/21/2022","4,236.60","4,236.60","4,236.60","4,236.60","","0.56%"
"06/20/2022","4,213.10","4,213.10","4,213.10","4,213.10","","0.31%"
"06/17/2022","4,199.90","4,199.90","4,199.90","4,199.90","","-0.91%"
"06/16/2022","4,238.30","4,238.30","4,238.30","4,238.30","","-1.99%"
"06/15/2022","4,324.20","4,324.20","4,324.20","4,324.20","","0.78%"
"06/14/2022","4,290.60","4,290.60","4,290.60","4,290.60","","-1.45%"
"06/13/2022","4,353.70","4,353.70","4,353.70","4,353.70","","-2.42%"
"06/10/2022","4,461.60","4,461.60","4,461.60","4,461.60","","-2.24%"
"06/09/2022","4,563.80","4,563.80","4,563.80","4,563.80","","-1.55%"
"06/08/2022","4,635.50","4,635.50","4,635.50","4,635.50","","0.52%"
"06/07/2022","4,611.60","4,611.60","4,611.60","4,611.60","","-0.44%"
"06/06/2022","4,631.80","4,631.80","4,631.80","4,631.80","","2.46%"
"06/01/2022","4,520.50","4,520.50","4,520.50","4,520.50","","-0.36%"
"05/31/2022","4,537.00","4,537.00","4,537.00","4,537.00","","-1.48%"
"05/30/2022","4,605.30","4,605.30","4,605.30","4,605.30","","1.15%"
"05/27/2022","4,553.10","4,553.10","4,553.10","4,553.10","","1.43%"
"05/26/2022","4,488.90","4,488.90","4,488.90","4,488.90","","-0.13%"
"05/25/2022","4,494.70","4,494.70","4,494.70","4,494.70","","-0.79%"
"05/24/2022","4,530.40","4,530.40","4,530.40","4,530.40","","-1.46%"
"05/23/2022","4,597.40","4,597.40","4,597.40","4,597.40","","0.83%"
"05/20/2022","4,559.50","4,559.50","4,559.50","4,559.50","","0.45%"
"05/19/2022","4,539.20","4,539.20","4,539.20","4,539.20","","2.65%"
"05/18/2022","4,422.20","4,422.20","4,422.20","4,422.20","","-1.38%"
"05/17/2022","4,483.90","4,483.90","4,483.90","4,483.90","","1.43%"
"05/16/2022","4,420.60","4,420.60","4,420.60","4,420.60","","0.87%"
"05/13/2022","4,382.50","4,382.50","4,382.50","4,382.50","","0.32%"
"05/12/2022","4,368.50","4,368.50","4,368.50","4,368.50","","-2.37%"
"05/11/2022","4,474.50","4,474.50","4,474.50","4,474.50","","0.86%"
"05/10/2022","4,436.50","4,436.50","4,436.50","4,436.50","","-0.34%"
"05/09/2022","4,451.60","4,451.60","4,451.60","4,451.60","","-3.11%"
"05/06/2022","4,594.30","4,594.30","4,594.30","4,594.30","","-1.60%"
"05/05/2022","4,668.90","4,668.90","4,668.90","4,668.90","","-0.46%"
"05/04/2022","4,690.30","4,690.30","4,690.30","4,690.30","","0.62%"
"05/03/2022","4,661.60","4,661.60","4,661.60","4,661.60","","-3.50%"
"04/29/2022","4,830.80","4,830.80","4,830.80","4,830.80","","0.07%"
"04/28/2022","4,827.20","4,827.20","4,827.20","4,827.20","","-1.58%"
