"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"08/29/2022","Payment","96203","Newco Metals, Inc","","$0.00","$6,144.00","","Aug 29, 2022, 8:42 AM",
"08/01/2022","Invoice","1636","Newco Metals, Inc","08/31/2022","$0.00","$6,144.00","","Aug 29, 2022, 8:42 AM",
"08/01/2022","Payment","96046","Newco Metals, Inc","","$0.00","$6,694.23","","Aug 1, 2022, 10:43 AM",
"07/22/2022","Payment","95968","Newco Metals, Inc","","$0.00","$5,401.77","","Jul 22, 2022, 9:59 AM",
"07/15/2022","Invoice","1589","Newco Metals, Inc","08/14/2022","$0.00","$6,694.23","","Aug 1, 2022, 10:43 AM",
"07/05/2022","Payment","95878","Newco Metals, Inc","","$0.00","$20,267.57","","Jul 5, 2022, 11:01 AM",
"06/23/2022","Invoice","1539","Newco Metals, Inc","07/23/2022","$0.00","$5,401.77","","Jul 22, 2022, 9:59 AM",
"05/23/2022","Invoice","1464","Newco Metals, Inc","06/22/2022","$0.00","$20,267.57","","Jul 5, 2022, 11:01 AM",
"05/23/2022","Payment","95624","Newco Metals, Inc","","$0.00","$5,143.72","","May 23, 2022, 10:24 AM",
"05/16/2022","Payment","95566","Newco Metals, Inc","","$0.00","$11,753.08","","May 16, 2022, 10:18 AM",
"05/16/2022","Payment","95602","Newco Metals, Inc","","$0.00","$6,800.00","","May 16, 2022, 10:11 AM",
"04/25/2022","Payment","95425","Newco Metals, Inc","","$0.00","$4,897.92","","Apr 25, 2022, 10:09 AM",
"04/21/2022","Payment","95399","Newco Metals, Inc","","$0.00","$4,000.00","","Apr 21, 2022, 9:30 AM",
"04/15/2022","Invoice","1359","Newco Metals, Inc","05/15/2022","$0.00","$5,143.72","","May 23, 2022, 10:24 AM",
"04/14/2022","Invoice","1374","Newco Metals, Inc","05/14/2022","$0.00","$6,800.00","","May 16, 2022, 10:11 AM",
"04/08/2022","Payment","95332","Newco Metals, Inc","","$0.00","$3,872.66","","Apr 8, 2022, 10:13 AM",
"04/06/2022","Invoice","1343","Newco Metals, Inc","05/06/2022","$0.00","$11,753.08","","May 16, 2022, 10:18 AM",
"03/22/2022","Invoice","1288","Newco Metals, Inc","04/21/2022","$0.00","$4,897.92","","Apr 25, 2022, 10:09 AM",
"03/16/2022","Invoice","1278","Newco Metals, Inc","04/15/2022","$0.00","$7,872.66","","Apr 21, 2022, 9:30 AM",
"02/28/2022","Payment","095043","Newco Metals, Inc","","$0.00","$12,154.67","","Feb 28, 2022, 10:13 AM",
"02/08/2022","Invoice","1201","Newco Metals, Inc","03/10/2022","$0.00","$5,657.27","","Feb 28, 2022, 10:13 AM",
"02/07/2022","Invoice","1197","Newco Metals, Inc","03/09/2022","$0.00","$6,497.40","","Feb 28, 2022, 10:13 AM",
"11/15/2021","Payment","","Newco Metals, Inc","","$0.00","$17,850.00","","Nov 15, 2021, 10:46 AM",
"10/06/2021","Invoice","1021","Newco Metals, Inc","11/05/2021","$0.00","$17,850.00","","Nov 15, 2021, 10:46 AM",
"09/23/2021","Payment","3490","Newco Metals, Inc","","$0.00","$6,861.57","","Sep 23, 2021, 3:02 PM",
"08/28/2021","Invoice","1002","Newco Metals, Inc","09/27/2021","$0.00","$6,861.57","","Sep 23, 2021, 3:02 PM",
