"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"11/23/2022","Payment","112202212","Rochester Iron & Metal","","$0.00","$4,150.00","","Nov 23, 2022, 8:11 AM",
"11/16/2022","Invoice","1900","Rochester Iron & Metal","12/16/2022","$0.00","$4,150.00","","Nov 23, 2022, 8:11 AM",
"11/16/2022","Deposit","","Rochester Iron & Metal","","$0.00","$5,540.80","","Nov 16, 2022, 8:29 AM",
"11/16/2022","Payment","1115202211","Rochester Iron & Metal","","$0.00","$5,540.80","","Nov 16, 2022, 8:29 AM",
"11/16/2022","Invoice","1899","Rochester Iron & Metal","12/16/2022","$0.00","$2,465.60","","Nov 16, 2022, 8:29 AM",
"11/16/2022","Invoice","1898","Rochester Iron & Metal","12/16/2022","$0.00","$3,075.20","","Nov 16, 2022, 8:29 AM",
"11/09/2022","Deposit","","Rochester Iron & Metal","","$0.00","$8,697.60","","Nov 9, 2022, 8:17 AM",
"11/09/2022","Payment","ACH","Rochester Iron & Metal","","$0.00","$8,697.60","","Nov 9, 2022, 8:17 AM",
"11/09/2022","Invoice","1879","Rochester Iron & Metal","12/09/2022","$0.00","$2,348.80","","Nov 9, 2022, 8:17 AM",
"11/02/2022","Invoice","1865","Rochester Iron & Metal","12/02/2022","$0.00","$3,593.60","","Nov 9, 2022, 8:17 AM",
"11/02/2022","Invoice","1864","Rochester Iron & Metal","11/17/2022","$0.00","$2,755.20","","Nov 9, 2022, 8:17 AM",
"11/02/2022","Deposit","","Rochester Iron & Metal","","$0.00","$5,956.45","","Dec 22, 2022, 1:22 PM",
"11/02/2022","Payment","","Rochester Iron & Metal","","$0.00","$5,956.45","","Dec 22, 2022, 1:22 PM",
"10/26/2022","Deposit","","Rochester Iron & Metal","","$0.00","$2,309.95","","Oct 26, 2022, 9:21 AM",
"10/26/2022","Payment","1772882","Rochester Iron & Metal","","$0.00","$2,309.95","","Oct 26, 2022, 9:19 AM",
"10/24/2022","Invoice","1838","Rochester Iron & Metal","11/23/2022","$0.00","$5,956.45","","Dec 22, 2022, 1:22 PM",
"10/18/2022","Invoice","1834","Rochester Iron & Metal","11/17/2022","$0.00","$2,309.95","","Oct 26, 2022, 9:19 AM",
"10/12/2022","Deposit","","Rochester Iron & Metal","","$0.00","$7,351.45","","Oct 12, 2022, 9:24 AM",
"10/12/2022","Payment","ACH","Rochester Iron & Metal","","$0.00","$7,351.45","","Oct 12, 2022, 9:24 AM",
"10/05/2022","Deposit","","Rochester Iron & Metal","","$0.00","$12,415.25","","Oct 5, 2022, 8:49 AM",
"10/05/2022","Payment","","Rochester Iron & Metal","","$0.00","$12,415.25","","Oct 5, 2022, 8:48 AM",
"09/29/2022","Invoice","1787","Rochester Iron & Metal","10/29/2022","$0.00","$7,351.45","","Oct 12, 2022, 9:24 AM",
"09/29/2022","Invoice","1784","Rochester Iron & Metal","10/29/2022","$0.00","$4,213.00","","Oct 5, 2022, 8:48 AM",
"09/28/2022","Invoice","1782","Rochester Iron & Metal","10/28/2022","$0.00","$5,700.91","","Oct 5, 2022, 8:48 AM",
"09/26/2022","Invoice","1777","Rochester Iron & Metal","10/26/2022","$0.00","$2,501.34","","Oct 5, 2022, 8:48 AM",
"09/21/2022","Deposit","","Rochester Iron & Metal","","$0.00","$2,109.55","","Sep 21, 2022, 9:40 AM",
"09/21/2022","Payment","","Rochester Iron & Metal","","$0.00","$2,109.55","","Sep 21, 2022, 9:40 AM",
"09/16/2022","Invoice","1753","Rochester Iron & Metal","10/16/2022","$0.00","$2,109.55","","Sep 21, 2022, 9:40 AM",
"09/07/2022","Deposit","","Rochester Iron & Metal","","$0.00","$3,296.30","","Sep 7, 2022, 8:34 AM",
"09/07/2022","Payment","","Rochester Iron & Metal","","$0.00","$3,296.30","","Sep 7, 2022, 8:34 AM",
"08/29/2022","Invoice","1708","Rochester Iron & Metal","09/28/2022","$0.00","$3,296.30","","Sep 7, 2022, 8:34 AM",
"08/26/2022","Deposit","","Rochester Iron & Metal","","$0.00","$4,347.45","","Aug 26, 2022, 8:23 AM",
"08/26/2022","Payment","ACH","Rochester Iron & Metal","","$0.00","$4,347.45","","Aug 26, 2022, 8:23 AM",
"08/26/2022","Invoice","1702","Rochester Iron & Metal","09/25/2022","$0.00","$327.60","","Aug 26, 2022, 8:23 AM",
"08/17/2022","Deposit","","Rochester Iron & Metal","","$0.00","$5,505.90","","Aug 17, 2022, 8:30 AM",
"08/17/2022","Payment","81602225","Rochester Iron & Metal","","$0.00","$5,505.90","","Aug 17, 2022, 8:30 AM",
"08/16/2022","Invoice","1681","Rochester Iron & Metal","09/15/2022","$0.00","$4,019.85","","Aug 26, 2022, 8:23 AM",
"08/10/2022","Invoice","1668","Rochester Iron & Metal","09/09/2022","$0.00","$4,595.90","","Aug 17, 2022, 8:30 AM",
"08/10/2022","Deposit","","Rochester Iron & Metal","","$0.00","$3,955.60","","Aug 10, 2022, 8:09 AM",
"08/10/2022","Payment","809202224","Rochester Iron & Metal","","$0.00","$3,955.60","","Aug 10, 2022, 8:07 AM",
"08/10/2022","Invoice","1664","Rochester Iron & Metal","09/09/2022","$0.00","$910.00","","Aug 17, 2022, 8:30 AM",
"08/04/2022","Invoice","1655","Rochester Iron & Metal","09/03/2022","$0.00","$3,955.60","","Aug 10, 2022, 8:07 AM",
"07/27/2022","Payment","","Rochester Iron & Metal","","$0.00","$17,403.20","","Jul 27, 2022, 10:48 AM",
"07/20/2022","Invoice","1600","Rochester Iron & Metal","08/19/2022","$0.00","$6,903.20","","Jul 27, 2022, 10:48 AM",
"07/20/2022","Payment","2611431670","Rochester Iron & Metal","","$0.00","$5,483.85","","Jul 20, 2022, 8:49 AM",
"07/19/2022","Invoice","1594","Rochester Iron & Metal","08/18/2022","$0.00","$4,394.55","","Jul 27, 2022, 10:48 AM",
"07/18/2022","Invoice","1590","Rochester Iron & Metal","08/17/2022","$0.00","$6,105.45","","Jul 27, 2022, 10:48 AM",
"07/14/2022","Invoice","1586","Rochester Iron & Metal","08/13/2022","$0.00","$5,483.85","","Jul 20, 2022, 8:49 AM",
"07/06/2022","Payment","Rochester","Rochester Iron & Metal","","$0.00","$11,823.50","","Jul 6, 2022, 8:52 AM",
"06/29/2022","Payment","1428405","Rochester Iron & Metal","","$0.00","$7,327.00","","Jun 29, 2022, 9:56 AM",
"06/29/2022","Payment","1428405","Rochester Iron & Metal","","$0.00","$5,132.20","","Jun 29, 2022, 9:55 AM",
"06/29/2022","Payment","1428405","Rochester Iron & Metal","","$0.00","$3,749.60","","Jun 29, 2022, 9:51 AM",
"06/27/2022","Invoice","1543","Rochester Iron & Metal","07/27/2022","$0.00","$11,823.50","","Jul 6, 2022, 8:52 AM",
"06/24/2022","Invoice","1542","Rochester Iron & Metal","07/24/2022","$0.00","$5,132.20","","Jun 29, 2022, 9:55 AM",
"06/23/2022","Invoice","1540","Rochester Iron & Metal","07/23/2022","$0.00","$7,327.00","","Jun 29, 2022, 9:56 AM",
"06/20/2022","Invoice","1532","Rochester Iron & Metal","07/20/2022","$0.00","$3,749.60","","Jun 29, 2022, 9:51 AM",
"06/16/2022","Payment","2611431670","Rochester Iron & Metal","","$0.00","$4,695.60","","Jun 16, 2022, 8:46 AM",
"06/02/2022","Invoice","1496","Rochester Iron & Metal","07/02/2022","$0.00","$4,695.60","","Jun 16, 2022, 8:46 AM",
"06/01/2022","Payment","ACH","Rochester Iron & Metal","","$0.00","$22,442.60","","Jun 1, 2022, 9:26 AM",
"05/25/2022","Invoice","1472","Rochester Iron & Metal","06/24/2022","$0.00","$6,678.98","","Jun 1, 2022, 9:26 AM",
"05/25/2022","Payment","P611431670","Rochester Iron & Metal","","$0.00","$6,242.40","","May 25, 2022, 9:02 AM",
