Yard Name,Commodity Name,Commodity Type,Material Name,Material Code,Status,Effective Date,Gross Weight,Net Weight,Tare,Cost,Customer Name,Outbound Ticket Id,Employee Name,Sales Order,Currency,Account Manager,Driver,Carrier Name,Trailer #,Export?,Freight Cost,Created Date,Last Updated,Custom Sequence,Sequence,Notes,bridge_contract_id,bol_id,origin_country,destination_country,port_code,hs_code,duty_usd,tax_pct,price_per_ton,price_per_lb,dedupe_key,created_at_utc,updated_at_utc
Winski Brothers,FERROUS,FERROUS,5' HMS,5HMS,SHIPPED,2025-08-26T11:20:55.752Z[UTC],76780,40160,36620,3440.628,DJJ/Nucor,193,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-26T11:22:01.726129Z[UTC],2025-08-29T11:23:59.606309Z[UTC],,,To be weighed by Nucor/ Scale down,,,,,,,,,171.346015936255,0.08567300796812749,cafd8a520e10b785e2c17a398ca331449ae636d3c14af4e430e380faadd2994a,2025-08-26T11:22:01.726129Z,2025-08-29T11:23:59.606309Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-25T12:39:12.639Z[UTC],0,-15000,15000,-1187.0577,Mervis,191,Michelle Bright,,USD,,Mervis,,,False,0.0,2025-08-25T12:40:17.521057Z[UTC],2025-08-25T12:40:29.111611Z[UTC],,,Heavy Torching/ To be weighed at Mervis,,,,,,,,,158.27436,0.07913718,4b1c5304f7e95dee05d7c88d556b27a8f36a79a131152d90388bde3535cf5172,2025-08-25T12:40:17.521057Z,2025-08-25T12:40:29.111611Z
Winski Brothers,FERROUS,FERROUS,BUSHELING,BUSHELING,SHIPPED,2025-08-22T09:48:06.17Z[UTC],55160,12340,42820,-208863.6392,Oscar Winski Company,190,Michelle Bright,,USD,,OW,,,False,0.0,2025-08-22T09:48:35.332655Z[UTC],2025-08-22T10:25:17.949204Z[UTC],,,,,,,,,,,,-33851.481231766615,-16.925740615883306,54b8441fc9ec5af983a7583233686c17827a7d5e420a6f37edc0d2c871553771,2025-08-22T09:48:35.332655Z,2025-08-22T10:25:17.949204Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-22T08:18:34.576Z[UTC],61040,30520,30520,2412.8179,Lewis Salvage Corp.,189,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-22T08:20:45.639352Z[UTC],2025-08-22T08:20:45.639352Z[UTC],,,,,,,,,,,,158.1138859764089,0.07905694298820445,e45b6c4dc89212b5d252e167a9282673cdbb458c8c2c09f324a265117953b33a,2025-08-22T08:20:45.639352Z,2025-08-22T08:20:45.639352Z
Winski Brothers,FERROUS,FERROUS,ROTORS / DRUMS,ROTORSDRUMS,SHIPPED,2025-08-21T10:59:10.994Z[UTC],86100,51740,34360,5459.2864,"Newco Metals, Inc",188,Michelle Bright,,USD,,Newco,,,False,0.0,2025-08-21T10:59:59.776758Z[UTC],2025-08-21T12:23:25.076157Z[UTC],,,,,,,,,,,,211.0276923076923,0.10551384615384615,90b4aede413aa6db163a4ff0fb0c8a1da7da3193282fbc99e75efa64f885ad94,2025-08-21T10:59:59.776758Z,2025-08-21T12:23:25.076157Z
Winski Brothers,FERROUS,FERROUS,5' P&S,5PS,SHIPPED,2025-08-21T10:23:37.025Z[UTC],78180,41740,36440,-12010.4061,DJJ/Nucor,187,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-21T10:24:35.781486Z[UTC],2025-08-21T11:27:22.72597Z[UTC],,,,,,,,,,,,-575.4866363200766,-0.28774331816003834,5e130bff7d0df8e15d8ec9c386cae7281265384618abec37466adf935dfa7587,2025-08-21T10:24:35.781486Z,2025-08-21T11:27:22.725970Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-21T08:54:04.149Z[UTC],70400,29280,41120,2308.6559,Lewis Salvage Corp.,186,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-21T08:55:20.173029Z[UTC],2025-08-21T08:55:20.173029Z[UTC],,,Car bodies,,,,,,,,,157.69507513661205,0.07884753756830602,8d3da6578687d4ce95f9650a8f22a7a4dac5b1917b4bdce3c9491674ee3b1a46,2025-08-21T08:55:20.173029Z,2025-08-21T08:55:20.173029Z
Winski Brothers,FERROUS,FERROUS,5' HMS,5HMS,SHIPPED,2025-08-20T08:09:28.928Z[UTC],79720,43120,36600,3693.5101,DJJ/Nucor,185,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-20T08:10:13.619236Z[UTC],2025-08-21T11:02:04.777996Z[UTC],,,,,,,,,,,,171.3130844155844,0.0856565422077922,161e1b62347f8d9c87698cc2e7502af8311a205675644d76f9e8684c8052c12b,2025-08-20T08:10:13.619236Z,2025-08-21T11:02:04.777996Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-19T12:22:08.772Z[UTC],75900,34860,41040,2742.3633,Lewis Salvage Corp.,184,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-19T12:22:50.192001Z[UTC],2025-08-19T13:23:18.606763Z[UTC],,,,,,,,,,,,157.33581755593804,0.07866790877796902,04d97aa25f458f00bf70acc85bf76cea5a384c5f87897f9ff69be0aeed9f501e,2025-08-19T12:22:50.192001Z,2025-08-19T13:23:18.606763Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-19T08:38:41.587Z[UTC],70700,29440,41260,2316.2492,Lewis Salvage Corp.,183,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-19T08:39:16.93228Z[UTC],2025-08-19T08:39:47.338391Z[UTC],,,,,,,,,,,,157.35388586956523,0.07867694293478261,ad79e3128b37d4278999d8d6771181af2f8c8afce9136c98bbe338f44a09e517,2025-08-19T08:39:16.932280Z,2025-08-19T08:39:47.338391Z
