Date,Price,Open,High,Low,Vol.,Change %
6/5/2012,"1,440.10","1,432.80","1,448.70","1,430.80",,0.53%
6/4/2012,"1,432.55","1,438.65","1,448.95","1,423.50",,-0.56%
6/3/2012,"1,440.55","1,442.50","1,446.30","1,438.25",,-0.24%
6/1/2012,"1,444.05","1,406.15","1,447.55","1,388.70",,2.65%
5/31/2012,"1,406.75","1,407.40","1,419.60","1,393.45",,-0.04%
5/30/2012,"1,407.30","1,428.90","1,431.65","1,387.20",,-1.49%
5/29/2012,"1,428.60","1,437.40","1,448.70","1,423.85",,-0.63%
5/28/2012,"1,437.60","1,431.40","1,442.75","1,430.55",,0.45%
5/27/2012,"1,431.20","1,433.45","1,438.85","1,429.85",,-0.02%
5/25/2012,"1,431.50","1,421.25","1,435.05","1,412.05",,0.73%
5/24/2012,"1,421.15","1,422.65","1,434.50","1,411.65",,-0.12%
5/23/2012,"1,422.85","1,444.15","1,446.85","1,406.95",,-1.45%
5/22/2012,"1,443.85","1,472.55","1,473.65","1,443.10",,-1.95%
5/21/2012,"1,472.60","1,459.85","1,473.30","1,458.35",,0.90%
5/20/2012,"1,459.50","1,456.45","1,459.90","1,455.45",,0.26%
5/18/2012,"1,455.75","1,452.20","1,466.25","1,443.55",,0.23%
5/17/2012,"1,452.45","1,438.20","1,458.60","1,436.55",,0.99%
5/16/2012,"1,438.15","1,436.20","1,443.25","1,422.75",,0.13%
5/15/2012,"1,436.30","1,440.65","1,454.30","1,431.70",,-0.36%
5/14/2012,"1,441.55","1,467.65","1,476.80","1,437.45",,-1.80%
5/13/2012,"1,468.00","1,468.40","1,470.60","1,467.65",,0.24%
5/11/2012,"1,464.45","1,487.70","1,488.20","1,461.05",,-1.57%
5/10/2012,"1,487.85","1,497.60","1,508.95","1,485.70",,-0.66%
5/9/2012,"1,497.70","1,509.50","1,512.70","1,490.60",,-0.79%
5/8/2012,"1,509.55","1,523.95","1,534.45","1,501.50",,-0.95%
5/7/2012,"1,524.00","1,523.00","1,532.85","1,512.80",,0.08%
5/6/2012,"1,522.80","1,524.45","1,524.85","1,516.70",,-0.23%
5/4/2012,"1,526.35","1,538.35","1,541.20","1,521.30",,-0.76%
5/3/2012,"1,538.10","1,562.20","1,565.15","1,531.45",,-1.55%
5/2/2012,"1,562.25","1,572.65","1,573.50","1,559.50",,-0.69%
5/1/2012,"1,573.10","1,574.55","1,578.75","1,560.25",,-0.04%
4/30/2012,"1,573.80","1,576.45","1,578.45","1,566.60",,-0.17%
4/29/2012,"1,576.55","1,574.30","1,576.55","1,572.95",,0.18%
4/27/2012,"1,573.75","1,569.20","1,579.55","1,563.05",,0.28%
4/26/2012,"1,569.35","1,556.40","1,574.20","1,554.60",,0.85%
4/25/2012,"1,556.10","1,549.25","1,559.25","1,543.15",,0.44%
4/24/2012,"1,549.35","1,560.15","1,561.75","1,545.10",,-0.69%
4/23/2012,"1,560.10","1,584.80","1,584.85","1,553.05",,-1.56%
4/22/2012,"1,584.75","1,583.40","1,584.80","1,582.70",,0.21%
4/20/2012,"1,581.40","1,578.70","1,586.75","1,572.80",,0.16%
4/19/2012,"1,578.80","1,581.45","1,597.05","1,574.35",,-0.14%
4/18/2012,"1,581.05","1,584.05","1,595.35","1,575.70",,-0.19%
4/17/2012,"1,584.10","1,576.95","1,588.05","1,566.20",,0.44%
4/16/2012,"1,577.15","1,583.05","1,583.30","1,562.80",,-0.39%
4/15/2012,"1,583.25","1,587.75","1,587.85","1,582.55",,-0.17%
4/13/2012,"1,585.90","1,609.45","1,610.25","1,583.00",,-1.46%
4/12/2012,"1,609.40","1,589.65","1,609.45","1,582.95",,1.26%
4/11/2012,"1,589.35","1,606.00","1,607.65","1,583.00",,-1.05%
4/10/2012,"1,606.20","1,617.80","1,632.05","1,584.85",,-0.71%
4/9/2012,"1,617.75","1,622.70","1,626.90","1,611.25",,-0.29%
4/8/2012,"1,622.50","1,613.25","1,623.40","1,612.25",,0.93%
4/5/2012,"1,607.50","1,602.35","1,610.95","1,589.85",,0.28%
4/4/2012,"1,603.05","1,645.65","1,648.45","1,598.05",,-2.64%
4/3/2012,"1,646.45","1,657.40","1,670.80","1,642.40",,-0.66%
4/2/2012,"1,657.35","1,650.00","1,659.70","1,640.55",,0.45%
4/1/2012,"1,649.95","1,645.20","1,649.95","1,644.95",,0.41%
3/30/2012,"1,643.15","1,637.00","1,652.20","1,628.05",,0.37%
3/29/2012,"1,637.15","1,641.85","1,649.70","1,626.25",,-0.28%
3/28/2012,"1,641.75","1,656.40","1,656.95","1,634.75",,-0.91%
3/27/2012,"1,656.75","1,655.45","1,671.65","1,655.45",,0.15%
3/26/2012,"1,654.35","1,640.05","1,654.60","1,624.50",,0.91%
3/25/2012,"1,639.45","1,631.95","1,639.95","1,631.40",,0.73%
3/23/2012,"1,627.50","1,624.40","1,637.40","1,614.90",,0.21%
3/22/2012,"1,624.15","1,641.15","1,644.65","1,604.15",,-1.02%
3/21/2012,"1,640.95","1,656.50","1,664.05","1,635.70",,-0.94%
3/20/2012,"1,656.45","1,679.75","1,680.85","1,647.80",,-1.39%
3/19/2012,"1,679.75","1,678.80","1,686.10","1,671.20",,0.04%
3/18/2012,"1,679.10","1,677.85","1,680.20","1,671.05",,0.40%
3/16/2012,"1,672.40","1,688.35","1,693.35","1,664.35",,-0.92%
3/15/2012,"1,687.95","1,673.15","1,691.80","1,661.55",,0.87%
3/14/2012,"1,673.35","1,693.45","1,705.45","1,662.45",,-1.15%
3/13/2012,"1,692.90","1,697.20","1,704.25","1,684.15",,-0.24%
3/12/2012,"1,696.95","1,690.40","1,707.20","1,674.60",,0.40%
3/11/2012,"1,690.15","1,685.85","1,691.30","1,683.00",,0.24%
3/9/2012,"1,686.15","1,664.45","1,686.90","1,649.35",,1.31%
3/8/2012,"1,664.40","1,634.45","1,664.70","1,630.50",,1.84%
3/7/2012,"1,634.30","1,618.80","1,634.70","1,611.15",,0.94%
3/6/2012,"1,619.15","1,667.65","1,672.00","1,606.05",,-2.91%
3/5/2012,"1,667.70","1,699.15","1,699.40","1,656.15",,-1.85%
3/4/2012,"1,699.10","1,701.00","1,701.75","1,698.80",,-0.09%
3/2/2012,"1,700.60","1,705.95","1,714.75","1,689.15",,-0.30%
3/1/2012,"1,705.70","1,677.55","1,706.00","1,677.55",,1.63%
2/29/2012,"1,678.35","1,724.65","1,738.85","1,677.20",,-2.66%
2/28/2012,"1,724.20","1,704.55","1,728.35","1,695.05",,1.15%
2/27/2012,"1,704.60","1,717.60","1,718.90","1,693.40",,-0.75%
2/26/2012,"1,717.55","1,716.90","1,719.05","1,714.65",,0.21%
2/24/2012,"1,714.00","1,724.70","1,729.55","1,708.60",,-0.62%
2/23/2012,"1,724.65","1,725.20","1,736.40","1,716.05",,-0.03%
2/22/2012,"1,725.25","1,690.90","1,729.05","1,690.90",,2.03%
2/21/2012,"1,690.85","1,647.55","1,693.55","1,646.10",,2.63%
2/20/2012,"1,647.50","1,648.80","1,658.80","1,644.45",,-0.04%
2/19/2012,"1,648.20","1,641.20","1,648.50","1,638.40",,0.77%
2/17/2012,"1,635.60","1,629.60","1,646.60","1,627.95",,0.30%
2/16/2012,"1,630.65","1,635.85","1,635.85","1,604.90",,-0.27%
2/15/2012,"1,635.00","1,634.50","1,645.60","1,631.55",,0.05%
2/14/2012,"1,634.25","1,649.10","1,652.95","1,624.50",,-0.90%
2/13/2012,"1,649.05","1,666.50","1,670.95","1,643.90",,-1.07%
2/12/2012,"1,666.95","1,664.60","1,669.05","1,664.60",,0.31%
2/10/2012,"1,661.75","1,659.40","1,663.00","1,633.80",,0.11%
2/9/2012,"1,660.00","1,665.05","1,673.80","1,656.85",,-0.33%
2/8/2012,"1,665.55","1,650.20","1,669.45","1,645.25",,0.99%
2/7/2012,"1,649.25","1,623.90","1,655.35","1,614.95",,1.56%
2/6/2012,"1,623.95","1,625.45","1,631.80","1,606.40",,-0.10%
2/5/2012,"1,625.55","1,623.30","1,627.95","1,623.30",,0.01%
2/3/2012,"1,625.35","1,631.15","1,638.55","1,616.70",,-0.30%
2/2/2012,"1,630.30","1,621.10","1,635.85","1,617.60",,0.58%
2/1/2012,"1,620.95","1,594.05","1,627.90","1,589.60",,1.71%
1/31/2012,"1,593.75","1,612.90","1,632.80","1,583.20",,-1.18%
1/30/2012,"1,612.80","1,624.20","1,626.25","1,601.75",,-0.74%
1/29/2012,"1,624.80","1,624.00","1,624.80","1,620.40",,0.01%
1/27/2012,"1,624.60","1,609.85","1,627.25","1,603.65",,0.92%
1/26/2012,"1,609.80","1,583.65","1,624.60","1,578.55",,1.65%
1/25/2012,"1,583.65","1,550.15","1,586.35","1,543.05",,2.12%
1/24/2012,"1,550.75","1,568.70","1,570.55","1,541.80",,-1.14%
1/23/2012,"1,568.65","1,529.60","1,570.75","1,527.70",,2.55%
1/22/2012,"1,529.60","1,535.45","1,536.95","1,529.05",,-0.54%
1/20/2012,"1,537.90","1,524.80","1,538.40","1,506.70",,0.86%
1/19/2012,"1,524.75","1,528.30","1,541.40","1,517.15",,-0.21%
1/18/2012,"1,527.95","1,528.40","1,530.35","1,505.55",,-0.03%
1/17/2012,"1,528.40","1,501.55","1,538.40","1,501.55",,1.77%
1/16/2012,"1,501.75","1,486.20","1,504.05","1,477.25",,0.97%
1/15/2012,"1,487.35","1,494.80","1,494.80","1,487.35",,-0.41%
1/13/2012,"1,493.45","1,498.35","1,498.50","1,472.00",,-0.37%
1/12/2012,"1,498.95","1,498.35","1,512.45","1,491.50",,-0.04%
1/11/2012,"1,499.55","1,467.55","1,501.45","1,465.55",,2.21%
1/10/2012,"1,467.10","1,426.20","1,474.15","1,425.75",,2.87%
1/9/2012,"1,426.15","1,398.30","1,434.00","1,393.30",,2.01%
1/8/2012,"1,398.10","1,406.45","1,406.70","1,395.45",,-0.60%
1/6/2012,"1,406.55","1,419.10","1,423.70","1,401.35",,-1.03%
1/5/2012,"1,421.25","1,426.15","1,439.50","1,409.95",,-0.34%
1/4/2012,"1,426.05","1,434.50","1,441.35","1,419.00",,-0.71%
1/3/2012,"1,436.20","1,408.55","1,436.20","1,405.80",,1.96%
1/2/2012,"1,408.55","1,403.25","1,408.55","1,403.25",,0.38%
12/30/2011,"1,403.25","1,379.95","1,410.25","1,376.10",,1.76%
12/29/2011,"1,379.00","1,385.30","1,389.40","1,348.05",,-0.56%
12/28/2011,"1,386.80","1,437.35","1,437.35","1,384.65",,-3.60%
12/27/2011,"1,438.55","1,438.30","1,442.85","1,424.75",,0.14%
12/26/2011,"1,436.55","1,432.20","1,441.65","1,432.20",,0.30%
12/25/2011,"1,432.20","1,432.20","1,432.20","1,432.20",,0.40%
12/23/2011,"1,426.45","1,425.55","1,439.30","1,424.20",,0.04%
12/22/2011,"1,425.90","1,429.00","1,435.25","1,415.90",,-0.22%
12/21/2011,"1,429.05","1,434.40","1,453.75","1,417.65",,-0.40%
12/20/2011,"1,434.75","1,408.95","1,436.55","1,408.15",,1.68%
12/19/2011,"1,411.10","1,422.65","1,427.60","1,404.60",,-0.89%
12/18/2011,"1,423.70","1,423.45","1,423.70","1,420.85",,0.24%
12/16/2011,"1,420.25","1,414.75","1,431.75","1,400.70",,0.40%
12/15/2011,"1,414.65","1,420.30","1,423.35","1,376.85",,-0.43%
12/14/2011,"1,420.80","1,473.05","1,484.50","1,408.90",,-3.54%
12/13/2011,"1,473.00","1,487.65","1,506.25","1,470.15",,-0.98%
12/12/2011,"1,487.60","1,514.45","1,519.95","1,483.35",,-1.79%
12/11/2011,"1,514.70","1,516.40","1,516.60","1,511.25",,-0.04%
12/9/2011,"1,515.35","1,498.15","1,517.80","1,488.75",,1.22%
12/8/2011,"1,497.15","1,524.90","1,537.05","1,491.40",,-1.93%
12/7/2011,"1,526.65","1,527.10","1,538.00","1,510.00",,0.04%
12/6/2011,"1,526.10","1,525.80","1,528.45","1,500.85",,0.16%
12/5/2011,"1,523.70","1,559.00","1,559.00","1,520.50",,-2.27%
12/4/2011,"1,559.10","1,549.35","1,559.10","1,549.35",,0.67%
12/2/2011,"1,548.70","1,565.10","1,572.35","1,546.30",,-1.03%
12/1/2011,"1,564.80","1,564.65","1,574.80","1,548.30",,0.03%
11/30/2011,"1,564.40","1,541.35","1,564.40","1,513.25",,1.46%
11/29/2011,"1,541.85","1,546.45","1,551.90","1,533.90",,-0.19%
11/28/2011,"1,544.85","1,543.75","1,567.05","1,538.80",,0.07%
11/27/2011,"1,543.80","1,540.25","1,546.85","1,539.10",,0.85%
11/25/2011,"1,530.80","1,545.80","1,549.40","1,526.40",,-0.96%
11/24/2011,"1,545.60","1,551.60","1,556.50","1,537.60",,-0.27%
11/23/2011,"1,549.75","1,571.65","1,574.35","1,539.25",,-1.40%
11/22/2011,"1,571.70","1,548.85","1,574.25","1,545.90",,1.47%
11/21/2011,"1,548.95","1,587.15","1,592.25","1,538.85",,-2.17%
11/20/2011,"1,583.25","1,588.90","1,589.50","1,580.75",,-0.82%
11/18/2011,"1,596.35","1,591.95","1,604.25","1,568.80",,0.16%
11/17/2011,"1,593.85","1,622.60","1,628.25","1,578.65",,-1.71%
11/16/2011,"1,621.60","1,644.40","1,645.70","1,613.15",,-1.40%
11/15/2011,"1,644.65","1,647.60","1,657.35","1,623.35",,-0.15%
11/14/2011,"1,647.20","1,653.80","1,667.60","1,639.40",,-0.47%
11/13/2011,"1,655.05","1,649.30","1,655.95","1,647.35",,0.55%
11/11/2011,"1,645.95","1,623.05","1,648.45","1,619.15",,1.39%
11/10/2011,"1,623.35","1,630.00","1,636.45","1,607.70",,-0.69%
11/9/2011,"1,634.70","1,662.95","1,676.60","1,626.10",,-1.63%
11/8/2011,"1,661.75","1,659.20","1,676.10","1,647.00",,0.12%
11/7/2011,"1,659.80","1,641.20","1,662.30","1,628.60",,1.16%
11/6/2011,"1,640.80","1,636.75","1,645.95","1,636.05",,0.23%
11/4/2011,"1,637.05","1,636.50","1,644.00","1,622.80",,0.02%
11/3/2011,"1,636.65","1,605.20","1,647.90","1,588.10",,1.91%
11/2/2011,"1,605.95","1,587.40","1,617.15","1,581.25",,1.03%
11/1/2011,"1,589.55","1,601.30","1,614.20","1,559.95",,-0.71%
10/31/2011,"1,600.95","1,644.50","1,648.10","1,594.85",,-2.70%
10/30/2011,"1,645.40","1,643.15","1,651.00","1,638.10",,-0.19%
10/28/2011,"1,648.60","1,644.05","1,662.10","1,628.85",,0.28%
10/27/2011,"1,643.95","1,596.20","1,644.65","1,594.35",,3.01%
10/26/2011,"1,595.95","1,566.75","1,599.50","1,565.55",,1.87%
10/25/2011,"1,566.70","1,544.15","1,571.45","1,539.30",,1.47%
10/24/2011,"1,543.95","1,515.25","1,549.45","1,514.00",,1.91%
10/23/2011,"1,515.05","1,515.40","1,516.30","1,510.85",,0.16%
10/21/2011,"1,512.60","1,496.20","1,516.55","1,487.00",,1.12%
10/20/2011,"1,495.85","1,516.90","1,521.95","1,466.20",,-1.46%
10/19/2011,"1,518.00","1,547.80","1,557.05","1,514.45",,-1.88%
