vendor,material_vendor,material_canonical
C&Y Global, Inc. / Pro Metal Recycling,Transformers (small),Transformers (Copper, Small)
C&Y Global, Inc. / Pro Metal Recycling,Transformer Cu small (palm size),Transformers (Copper, Small)
C&Y Global, Inc. / Pro Metal Recycling,Transformer Cu medium (more than 200lbs),Transformers (Copper, Medium)
C&Y Global, Inc. / Pro Metal Recycling,Transformer Cu large,Transformers (Copper, Large)
C&Y Global, Inc. / Pro Metal Recycling,NON FE:Transformers,Transformers (Al/Cu)
Oscar Winski Company,BUSHELING,Busheling
Oscar Winski Company,Busheling,Busheling
Oscar Winski Company,busheling,Busheling
Oscar Winski Company,Ferrous Sale,Clips
Oscar Winski Company,Purdue for Solotken,Prepared Cast (Industrial)
Oscar Winski Company,Purdue Scrap,Prepared Cast (Industrial)
Oscar Winski Company,Full Rail,Rail & OTM
Oscar Winski Company,Full Rail Load #1,RAIL & OTM
Oscar Winski Company,From NHK #1,Busheling
Rochester Iron & Metal,BUSHELING,Busheling
Rochester Iron & Metal,Busheling,Busheling
Rochester Iron & Metal,Sheet iron,Shred
Rochester Iron & Metal,Sheet Iron,Shred
Rochester Iron & Metal,Low Grade Sheet Iron,Shred
Rochester Iron & Metal,Car Bodies,Shred
Rochester Iron & Metal,carbodies,Shred
Rochester Iron & Metal,autos,Shred
Rochester Iron & Metal,Unprepared Pipe,Unprepared HMS (Pipe)
Rochester Iron & Metal,dirty pipe,Unprepared HMS (Pipe)
Rochester Iron & Metal,Misc Unprepared Pipe from Fox,Unprepared HMS (Pipe)
Rochester Iron & Metal,Pipe from solar farm,Unprepared HMS (Pipe)
Rochester Iron & Metal,Pipe from solar farm project,Unprepared HMS (Pipe)
Rochester Iron & Metal,Heavy Unppd,Unprepared HMS (Heavy)
Rochester Iron & Metal,Sheet Iron (light poles as UHMS),Unprepared HMS
Rochester Iron & Metal,Light polies from Lebanon - pd as UHMS,Clips
Rochester Iron & Metal,Light poles from Lebanon - pd as UHMS,Clips
Rochester Iron & Metal,Drums & Rotors,Drums & Rotors
Rochester Iron & Metal,drums & rotors / per Josh,Drums & Rotors
C&Y Global, Inc. / Pro Metal Recycling,E-scrap,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,Escrap,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,E scrap,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,Escrap boards,E-Scrap (Boards)
C&Y Global, Inc. / Pro Metal Recycling,TVs,E-Scrap (TV/Monitors)
C&Y Global, Inc. / Pro Metal Recycling,TV/monitors,E-Scrap (TV/Monitors)
C&Y Global, Inc. / Pro Metal Recycling,mixed e-scrap,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,shredded e-scrap,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,Misc e-scrap,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,NON FE:E-scrap mixed,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,8 boxes of E-scrap,E-Scrap (Mixed)
C&Y Global, Inc. / Pro Metal Recycling,Computer tower,Computer Tower (Complete)
C&Y Global, Inc. / Pro Metal Recycling,Servers,Servers (Complete)
C&Y Global, Inc. / Pro Metal Recycling,NON FE:Ballasts,Ballasts (Electronic)
C&Y Global, Inc. / Pro Metal Recycling,Ballasts,Ballasts (Magnetic/Regular)
C&Y Global, Inc. / Pro Metal Recycling,Ballast regular,Ballasts (Magnetic/Regular)
C&Y Global, Inc. / Pro Metal Recycling,Ballast Electronic,Ballasts (Electronic)
C&Y Global, Inc. / Pro Metal Recycling,Ballast electronic ballast,Ballasts (Electronic)
