Date,Price,Open,High,Low,Vol.,Change %
9/27/2012,637,629.1,638,626.8,,1.97%
9/26/2012,624.7,618.5,618.5,613.35,0.01K,-2.15%
9/25/2012,638.4,645,649.5,636.5,,-0.92%
9/24/2012,644.35,641.35,641.35,639,0.02K,-4.13%
9/21/2012,672.1,665.1,678.5,665,,1.90%
9/20/2012,659.6,668.75,668.75,659.65,0.02K,-1.83%
9/19/2012,671.9,664.5,676.8,664,,0.76%
9/18/2012,666.85,681,666.85,681,0.00K,-3.16%
9/17/2012,688.6,696.3,696.3,690.35,0.03K,-1.46%
9/14/2012,698.8,696.95,704.3,696.95,0.02K,1.50%
9/13/2012,688.5,684.2,684.2,683.55,0.00K,1.43%
9/12/2012,678.8,677.75,681,675.65,0.01K,0.65%
9/11/2012,674.4,670.5,675.3,668.8,0.03K,0.32%
9/10/2012,672.25,654.55,672.4,654.55,0.02K,2.79%
9/7/2012,654,644.5,656.4,644.5,0.02K,1.08%
9/6/2012,647,642.55,650.3,642.55,0.05K,0.13%
9/5/2012,646.15,635.5,642.5,634.5,0.01K,0.92%
9/4/2012,640.25,626.8,639.25,626.8,0.30K,0.95%
9/3/2012,634.2,630,637.7,629,,1.00%
8/31/2012,627.95,617.05,629,617,0.52K,2.12%
8/30/2012,614.9,630.95,635,612,1.73K,-2.41%
8/29/2012,630.1,635.7,639.4,630.1,,-0.91%
8/28/2012,635.9,653.2,653.2,635.2,,-2.63%
8/27/2012,653.1,656.5,657.5,646.5,,0.09%
8/24/2012,652.5,652.2,656.3,634.9,,0.08%
8/23/2012,652,631.8,657.3,628.9,,3.18%
8/22/2012,631.9,625,634.4,621.9,,1.09%
8/21/2012,625.1,605.3,626.2,600.1,,3.02%
8/20/2012,606.8,606.3,608.3,597.1,,-0.07%
8/17/2012,607.2,582.8,607.9,582.7,,4.24%
8/16/2012,582.5,575.5,587.8,574.8,,1.20%
8/15/2012,575.6,579.4,580.8,573.2,,-0.64%
8/14/2012,579.3,575.2,581,573.5,,0.78%
8/13/2012,574.8,581.5,583,572.5,,-1.25%
8/10/2012,582.1,586.1,587.2,575.5,,-0.70%
8/9/2012,586.2,586.9,590.4,583.9,,-0.10%
8/8/2012,586.8,585.7,588.2,581.5,,0.17%
8/7/2012,585.8,578.8,588.8,578.6,,1.17%
8/6/2012,579,577.4,582.4,573.7,,-0.10%
8/3/2012,579.6,568.8,583.2,567.8,,1.93%
8/2/2012,568.6,583.1,589.2,564.2,,-2.54%
8/1/2012,583.4,587.9,592.2,578.9,,-0.78%
7/31/2012,588,588,593.8,586.9,,-0.03%
7/30/2012,588.2,578,591.3,569.3,,3.00%
7/27/2012,571.05,563.7,563.7,561.95,0.01K,0.08%
7/26/2012,570.6,565.9,573.9,564.6,,0.85%
7/25/2012,565.8,563.9,569,560.8,,0.28%
7/24/2012,564.2,573.5,575.1,556.4,,-1.59%
7/23/2012,573.3,575.2,576.5,563.6,,-0.45%
7/20/2012,575.9,583.8,584.3,574.3,,-1.51%
7/19/2012,584.7,575.8,586.2,575.8,,1.58%
7/18/2012,575.6,584.1,584.2,574.7,,-1.44%
7/17/2012,584,578,586.7,574.3,,1.06%
7/16/2012,577.9,584.6,585.3,575.7,,-1.28%
7/13/2012,585.4,579.7,586,577.8,,1.00%
7/12/2012,579.6,581.5,581.9,572.2,,-0.34%
7/11/2012,581.6,576.6,583.6,575,,0.85%
7/10/2012,576.7,583.1,588,573.4,,-1.11%
7/9/2012,583.2,578.1,584.9,575.5,,1.04%
7/6/2012,577.2,587.5,588.4,574.4,,-1.38%
7/5/2012,585.3,596.8,601.8,584.6,,-1.86%
7/4/2012,596.4,599.3,605.7,595.6,,-0.52%
7/3/2012,599.5,576.1,600.1,574.3,,4.12%
7/2/2012,575.8,585.2,585.9,575.7,,-1.15%
6/29/2012,582.5,565.2,585.9,564.8,,3.57%
6/28/2012,562.4,561.3,561.3,561.2,0.00K,-2.66%
6/27/2012,577.75,594.75,594.75,571.2,0.02K,-2.51%
6/26/2012,592.65,601.1,601.1,601.1,0.00K,-2.24%
6/25/2012,606.2,606.9,606.9,606.9,0.00K,-0.51%
6/22/2012,609.3,609.2,612.7,605.6,,0.31%
6/21/2012,607.4,607.8,607.8,607.8,0.00K,-1.77%
6/20/2012,618.35,617.05,621.6,617.05,0.01K,-1.85%
6/19/2012,630,634,635.8,626.3,,-0.62%
6/18/2012,633.9,630.7,636.4,626.6,,0.76%
6/15/2012,629.1,623.6,630.25,623.3,0.01K,-0.71%
6/14/2012,633.6,628,634.1,628,0.00K,2.39%
6/13/2012,618.8,623.1,628.3,617.6,,-0.59%
6/12/2012,622.45,616.6,622.2,616.6,0.07K,0.27%
6/11/2012,620.8,624.3,630.4,618.6,,1.66%
6/8/2012,610.65,623,623,612.6,0.02K,-2.19%
6/7/2012,624.35,623.5,625,621.4,0.03K,-1.09%
6/6/2012,631.25,623.1,628.85,623.1,0.04K,2.14%
6/5/2012,618.05,612.45,620.65,612.05,0.05K,0.95%
6/4/2012,612.25,606,610.5,606,0.03K,-0.01%
6/1/2012,612.3,605.65,614.15,605.65,0.05K,0.03%
5/31/2012,612.1,607.25,611.6,602,0.32K,1.22%
5/30/2012,604.7,603.6,606.9,590,3.27K,0.19%
5/29/2012,603.55,594.1,613.55,588.7,9.34K,-0.49%
5/28/2012,606.5,593.4,608.4,591.2,,2.88%
5/25/2012,589.5,587.8,594.6,584.8,,0.31%
5/24/2012,587.7,592,600.5,584.3,,-0.69%
5/23/2012,591.8,610.6,611.8,586.7,,-3.06%
5/22/2012,610.5,615.7,616.7,607.2,,-0.86%
5/21/2012,615.8,601.3,619.2,601.3,,2.02%
5/18/2012,603.6,603.2,612.3,596.8,,0.05%
5/17/2012,603.3,596.3,609.6,595.6,,1.21%
5/16/2012,596.1,595.5,600.5,587.4,,0.08%
5/15/2012,595.6,593.1,605.5,591.2,,0.20%
5/14/2012,594.4,594,594.4,594,,-1.33%
5/11/2012,602.4,614.4,616.7,600,,-1.92%
5/10/2012,614.2,613.6,622.4,611.5,,0.11%
5/9/2012,613.5,622.4,624.8,609.1,,-1.41%
5/8/2012,622.3,647.8,651.1,619.3,,-3.92%
5/7/2012,647.7,648.6,655.3,644.2,,-0.54%
5/4/2012,651.2,662.2,666,649.7,,-1.68%
5/3/2012,662.3,668.6,670.2,660.2,,-0.96%
5/2/2012,668.7,679.8,681.3,667.3,,-1.66%
5/1/2012,680,683.8,685.9,675.9,,-0.51%
4/30/2012,683.5,683,684.8,675.8,,0.06%
4/27/2012,683.1,668.3,683.7,668.1,,2.14%
4/26/2012,668.8,662.7,674.4,656.4,,0.94%
4/25/2012,662.6,668.7,672,652.8,,-0.90%
4/24/2012,668.6,671.5,677.8,665.6,,-0.45%
4/23/2012,671.6,677.8,678,665.1,,-0.64%
4/20/2012,675.9,666.1,678.7,659.2,,1.44%
4/19/2012,666.3,658,668.6,652.9,,1.25%
4/18/2012,658.1,662.3,665,655.1,,-0.62%
4/17/2012,662.2,653,664.2,644.6,,1.42%
4/16/2012,652.9,642.7,653.9,636.7,,1.37%
4/13/2012,644.1,655.4,655.9,641.8,,-1.63%
4/12/2012,654.8,638.1,655.3,637.3,,2.63%
4/11/2012,638,641.7,644.8,633,,-0.53%
4/10/2012,641.4,645.6,653.4,629.3,,-0.68%
4/9/2012,645.8,651,652.9,642.1,,0.02%
4/5/2012,645.7,634.5,647,629.7,,1.75%
4/4/2012,634.6,653.6,656.5,631,,-2.92%
4/3/2012,653.7,656.5,664.3,651.5,,-0.34%
